,Participant Private ID,Page,Question,Response
126,12315511.0,Page 38,Predict the midpoint of the next candlestick,104
128,12315511.0,Page 38,How confident are you in your prediction (1-5),4
129,12315511.0,Page 23,Predict the midpoint of the next candlestick,105
131,12315511.0,Page 23,How confident are you in your prediction (1-5),4
132,12315511.0,Page 44,Predict the midpoint of the next candlestick,103
134,12315511.0,Page 44,How confident are you in your prediction (1-5),3
135,12315511.0,Page 18,Predict the midpoint of the next candlestick,106
137,12315511.0,Page 18,How confident are you in your prediction (1-5),3
138,12315511.0,Page 45,Predict the midpoint of the next candlestick,101
140,12315511.0,Page 45,How confident are you in your prediction (1-5),4
141,12315511.0,Page 15,Predict the midpoint of the next candlestick,113
143,12315511.0,Page 15,How confident are you in your prediction (1-5),4
144,12315511.0,Page 28,Predict the midpoint of the next candlestick,103
146,12315511.0,Page 28,How confident are you in your prediction (1-5),4
147,12315511.0,Page 21,Predict the midpoint of the next candlestick,117
149,12315511.0,Page 21,How confident are you in your prediction (1-5),4
150,12315511.0,Page 19,Predict the midpoint of the next candlestick,104
152,12315511.0,Page 19,How confident are you in your prediction (1-5),4
153,12315511.0,Page 3,Predict the midpoint of the next candlestick,103
155,12315511.0,Page 3,How confident are you in your prediction (1-5),3
156,12315511.0,Page 5,Predict the midpoint of the next candlestick,102
158,12315511.0,Page 5,How confident are you in your prediction (1-5),3
159,12315511.0,Page 33,Predict the midpoint of the next candlestick,100
161,12315511.0,Page 33,How confident are you in your prediction (1-5),3
162,12315511.0,Page 46,Predict the midpoint of the next candlestick,99
164,12315511.0,Page 46,How confident are you in your prediction (1-5),3
165,12315511.0,Page 17,Predict the midpoint of the next candlestick,99
167,12315511.0,Page 17,How confident are you in your prediction (1-5),4
168,12315511.0,Page 49,Predict the midpoint of the next candlestick,104
170,12315511.0,Page 49,How confident are you in your prediction (1-5),3
171,12315511.0,Page 34,Predict the midpoint of the next candlestick,97
173,12315511.0,Page 34,How confident are you in your prediction (1-5),3
174,12315511.0,Page 8,Predict the midpoint of the next candlestick,114
176,12315511.0,Page 8,How confident are you in your prediction (1-5),4
177,12315511.0,Page 20,Predict the midpoint of the next candlestick,115
179,12315511.0,Page 20,How confident are you in your prediction (1-5),4
180,12315511.0,Page 7,Predict the midpoint of the next candlestick,104
182,12315511.0,Page 7,How confident are you in your prediction (1-5),3
183,12315511.0,Page 39,Predict the midpoint of the next candlestick,99
185,12315511.0,Page 39,How confident are you in your prediction (1-5),3
186,12315511.0,Page 30,Predict the midpoint of the next candlestick,105
188,12315511.0,Page 30,How confident are you in your prediction (1-5),3
189,12315511.0,Page 11,Predict the midpoint of the next candlestick,112
191,12315511.0,Page 11,How confident are you in your prediction (1-5),4
192,12315511.0,Page 14,Predict the midpoint of the next candlestick,98
194,12315511.0,Page 14,How confident are you in your prediction (1-5),4
195,12315511.0,Page 41,Predict the midpoint of the next candlestick,104
197,12315511.0,Page 41,How confident are you in your prediction (1-5),4
198,12315511.0,Page 9,Predict the midpoint of the next candlestick,99
200,12315511.0,Page 9,How confident are you in your prediction (1-5),4
253,12315870.0,Page 15,Predict the midpoint of the next candlestick,114
255,12315870.0,Page 15,How confident are you in your prediction (1-5),3
256,12315870.0,Page 13,Predict the midpoint of the next candlestick,104
258,12315870.0,Page 13,How confident are you in your prediction (1-5),3
259,12315870.0,Page 19,Predict the midpoint of the next candlestick,106
261,12315870.0,Page 19,How confident are you in your prediction (1-5),3
262,12315870.0,Page 49,Predict the midpoint of the next candlestick,103
264,12315870.0,Page 49,How confident are you in your prediction (1-5),3
265,12315870.0,Page 25,Predict the midpoint of the next candlestick,106
267,12315870.0,Page 25,How confident are you in your prediction (1-5),3
268,12315870.0,Page 37,Predict the midpoint of the next candlestick,99
270,12315870.0,Page 37,How confident are you in your prediction (1-5),3
271,12315870.0,Page 17,Predict the midpoint of the next candlestick,98
273,12315870.0,Page 17,How confident are you in your prediction (1-5),3
274,12315870.0,Page 50,Predict the midpoint of the next candlestick,104
276,12315870.0,Page 50,How confident are you in your prediction (1-5),3
277,12315870.0,Page 48,Predict the midpoint of the next candlestick,112
279,12315870.0,Page 48,How confident are you in your prediction (1-5),3
280,12315870.0,Page 32,Predict the midpoint of the next candlestick,106
282,12315870.0,Page 32,How confident are you in your prediction (1-5),3
283,12315870.0,Page 12,Predict the midpoint of the next candlestick,96
285,12315870.0,Page 12,How confident are you in your prediction (1-5),3
286,12315870.0,Page 21,Predict the midpoint of the next candlestick,117
288,12315870.0,Page 21,How confident are you in your prediction (1-5),3
289,12315870.0,Page 29,Predict the midpoint of the next candlestick,89
291,12315870.0,Page 29,How confident are you in your prediction (1-5),3
292,12315870.0,Page 9,Predict the midpoint of the next candlestick,103
294,12315870.0,Page 9,How confident are you in your prediction (1-5),3
295,12315870.0,Page 38,Predict the midpoint of the next candlestick,103
297,12315870.0,Page 38,How confident are you in your prediction (1-5),3
298,12315870.0,Page 2,Predict the midpoint of the next candlestick,103
300,12315870.0,Page 2,How confident are you in your prediction (1-5),3
301,12315870.0,Page 14,Predict the midpoint of the next candlestick,103
303,12315870.0,Page 14,How confident are you in your prediction (1-5),3
304,12315870.0,Page 35,Predict the midpoint of the next candlestick,105
306,12315870.0,Page 35,How confident are you in your prediction (1-5),3
307,12315870.0,Page 5,Predict the midpoint of the next candlestick,104
309,12315870.0,Page 5,How confident are you in your prediction (1-5),3
310,12315870.0,Page 7,Predict the midpoint of the next candlestick,104
312,12315870.0,Page 7,How confident are you in your prediction (1-5),3
313,12315870.0,Page 4,Predict the midpoint of the next candlestick,103
315,12315870.0,Page 4,How confident are you in your prediction (1-5),3
316,12315870.0,Page 47,Predict the midpoint of the next candlestick,112
318,12315870.0,Page 47,How confident are you in your prediction (1-5),2
319,12315870.0,Page 10,Predict the midpoint of the next candlestick,103
321,12315870.0,Page 10,How confident are you in your prediction (1-5),4
322,12315870.0,Page 46,Predict the midpoint of the next candlestick,99
324,12315870.0,Page 46,How confident are you in your prediction (1-5),3
325,12315870.0,Page 31,Predict the midpoint of the next candlestick,108
327,12315870.0,Page 31,How confident are you in your prediction (1-5),3
328,12315870.0,Page 20,Predict the midpoint of the next candlestick,116
330,12315870.0,Page 20,How confident are you in your prediction (1-5),3
331,12315870.0,Page 23,Predict the midpoint of the next candlestick,107
333,12315870.0,Page 23,How confident are you in your prediction (1-5),3
334,12315870.0,Page 33,Predict the midpoint of the next candlestick,99
336,12315870.0,Page 33,How confident are you in your prediction (1-5),3
337,12315870.0,Page 27,Predict the midpoint of the next candlestick,104
339,12315870.0,Page 27,How confident are you in your prediction (1-5),3
340,12315870.0,Page 16,Predict the midpoint of the next candlestick,99
342,12315870.0,Page 16,How confident are you in your prediction (1-5),3
343,12315870.0,Page 41,Predict the midpoint of the next candlestick,106
345,12315870.0,Page 41,How confident are you in your prediction (1-5),3
346,12315870.0,Page 36,Predict the midpoint of the next candlestick,116
348,12315870.0,Page 36,How confident are you in your prediction (1-5),3
349,12315870.0,Page 30,Predict the midpoint of the next candlestick,107
351,12315870.0,Page 30,How confident are you in your prediction (1-5),3
352,12315870.0,Page 42,Predict the midpoint of the next candlestick,105
354,12315870.0,Page 42,How confident are you in your prediction (1-5),3
355,12315870.0,Page 51,Predict the midpoint of the next candlestick,109
357,12315870.0,Page 51,How confident are you in your prediction (1-5),3
358,12315870.0,Page 45,Predict the midpoint of the next candlestick,98
360,12315870.0,Page 45,How confident are you in your prediction (1-5),3
361,12315870.0,Page 22,Predict the midpoint of the next candlestick,109
363,12315870.0,Page 22,How confident are you in your prediction (1-5),3
364,12315870.0,Page 34,Predict the midpoint of the next candlestick,98
366,12315870.0,Page 34,How confident are you in your prediction (1-5),3
367,12315870.0,Page 6,Predict the midpoint of the next candlestick,98
369,12315870.0,Page 6,How confident are you in your prediction (1-5),3
370,12315870.0,Page 26,Predict the midpoint of the next candlestick,102
372,12315870.0,Page 26,How confident are you in your prediction (1-5),3
373,12315870.0,Page 40,Predict the midpoint of the next candlestick,108
375,12315870.0,Page 40,How confident are you in your prediction (1-5),3
376,12315870.0,Page 39,Predict the midpoint of the next candlestick,104
378,12315870.0,Page 39,How confident are you in your prediction (1-5),3
379,12315870.0,Page 28,Predict the midpoint of the next candlestick,104
381,12315870.0,Page 28,How confident are you in your prediction (1-5),3
382,12315870.0,Page 8,Predict the midpoint of the next candlestick,112
384,12315870.0,Page 8,How confident are you in your prediction (1-5),3
385,12315870.0,Page 18,Predict the midpoint of the next candlestick,108
387,12315870.0,Page 18,How confident are you in your prediction (1-5),3
388,12315870.0,Page 3,Predict the midpoint of the next candlestick,104
390,12315870.0,Page 3,How confident are you in your prediction (1-5),3
391,12315870.0,Page 43,Predict the midpoint of the next candlestick,125
393,12315870.0,Page 43,How confident are you in your prediction (1-5),3
394,12315870.0,Page 44,Predict the midpoint of the next candlestick,105
396,12315870.0,Page 44,How confident are you in your prediction (1-5),3
397,12315870.0,Page 24,Predict the midpoint of the next candlestick,104
399,12315870.0,Page 24,How confident are you in your prediction (1-5),3
400,12315870.0,Page 11,Predict the midpoint of the next candlestick,108
402,12315870.0,Page 11,How confident are you in your prediction (1-5),3
