Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Manipulation: 
11,1734939479443,23/12/2024 07:37:59,1734946679443,2,23/12/2024 11:37:59,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 19,9shknl,11,,info,,100,,,Prediction,3,object-65355,
12,1734939499074,23/12/2024 07:38:19,1734946699074,2,23/12/2024 11:38:19,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 100,b7tvd5,12,,info,,100,,,Prediction,3,object-120298201,
13,1734939518384,23/12/2024 07:38:38,1734946718384,2,23/12/2024 11:38:38,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 120,58xhvb,13,,info,,100,,,Prediction,3,object-1338341,
14,1734939531077,23/12/2024 07:38:51,1734946731077,2,23/12/2024 11:38:51,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 37,jtzr1u,14,,info,,100,,,Prediction,3,object-753,
15,1734939548285,23/12/2024 07:39:08,1734946748285,2,23/12/2024 11:39:08,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 87,ypuqau,15,,info,,100,,,Prediction,3,object-111107110,
16,1734939563736,23/12/2024 07:39:23,1734946763736,2,23/12/2024 11:39:23,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 115,cfn2di,16,,info,,100,,,Prediction,3,object-1303306,
17,1734939592127,23/12/2024 07:39:52,1734946792127,2,23/12/2024 11:39:52,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 123,ewpf6o,17,,info,,100,,,Prediction,3,object-1359362,
18,1734939605342,23/12/2024 07:40:05,1734946805342,2,23/12/2024 11:40:05,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 113,npgdkt,18,,info,,100,,,Prediction,3,object-1289292,
19,1734939627356,23/12/2024 07:40:27,1734946827356,2,23/12/2024 11:40:27,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 16,cixlpx,19,,info,,100,,,Prediction,3,object-522,
20,1734939647142,23/12/2024 07:40:47,1734946847142,2,23/12/2024 11:40:47,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 99,eww6xw,20,,info,,100,,,Prediction,3,object-119591194,
21,1734939667754,23/12/2024 07:41:07,1734946867754,2,23/12/2024 11:41:07,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 107,xr9mek,21,,info,,100,,,Prediction,3,object-1268271,
22,1734939682013,23/12/2024 07:41:22,1734946882013,2,23/12/2024 11:41:22,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 143,5dd6ok,22,,info,,100,,,Prediction,3,object-1464467,
23,1734939700984,23/12/2024 07:41:40,1734946900984,2,23/12/2024 11:41:40,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 46,ouytzo,23,,info,,100,,,Prediction,3,object-82323,
24,1734939730106,23/12/2024 07:42:10,1734946930106,2,23/12/2024 11:42:10,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 109,vqrqgv,24,,info,,100,,,Prediction,3,object-1254257,
25,1734939747315,23/12/2024 07:42:27,1734946947315,2,23/12/2024 11:42:27,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 26,wqqohd,25,,info,,100,,,Prediction,3,object-68183,
26,1734939767939,23/12/2024 07:42:47,1734946967939,2,23/12/2024 11:42:47,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 103,u2z9ox,26,,info,,100,,,Prediction,3,object-1219222,
27,1734939781963,23/12/2024 07:43:01,1734946981963,2,23/12/2024 11:43:01,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 125,25kwmp,27,,info,,100,,,Prediction,3,object-1373376,
28,1734939802914,23/12/2024 07:43:22,1734947002914,2,23/12/2024 11:43:22,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 97,8efk7s,28,,info,,100,,,Prediction,3,object-118177180,
29,1734939825604,23/12/2024 07:43:45,1734947025604,2,23/12/2024 11:43:45,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 82,jbdt9z,29,,info,,100,,,Prediction,3,object-107772075,
30,1734939844799,23/12/2024 07:44:04,1734947044799,2,23/12/2024 11:44:04,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 9,pscsyb,30,,info,,100,,,Prediction,3,object-571,
31,1734939864552,23/12/2024 07:44:24,1734947064552,2,23/12/2024 11:44:24,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 98,m4l3hy,31,,info,,100,,,Prediction,3,object-118884187,
32,1734939888410,23/12/2024 07:44:48,1734947088410,2,23/12/2024 11:44:48,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 8,c3apn3,32,,info,,100,,,Prediction,3,object-564,
33,1734939911380,23/12/2024 07:45:11,1734947111380,2,23/12/2024 11:45:11,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 132,i57du6,33,,info,,100,,,Prediction,3,object-1422425,
34,1734939924118,23/12/2024 07:45:24,1734947124118,2,23/12/2024 11:45:24,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 5,h81glr,34,,info,,100,,,Prediction,3,object-543,
35,1734939946796,23/12/2024 07:45:46,1734947146796,2,23/12/2024 11:45:46,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 76,bv4n1p,35,,info,,100,,,Prediction,3,object-104237040,
36,1734939959009,23/12/2024 07:45:59,1734947159009,2,23/12/2024 11:45:59,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 4,c6cutd,36,,info,,100,,,Prediction,3,object-536,
37,1734939972939,23/12/2024 07:46:12,1734947172939,2,23/12/2024 11:46:12,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 23,us6s11,37,,info,,100,,,Prediction,3,object-62527,
38,1734939983163,23/12/2024 07:46:23,1734947183163,2,23/12/2024 11:46:23,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 149,ee3ym9,38,,info,,100,,,Prediction,3,object-1541544,
39,1734940010437,23/12/2024 07:46:50,1734947210437,2,23/12/2024 11:46:50,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 94,lm3cf1,39,,info,,100,,,Prediction,3,object-113935138,
40,1734940070590,23/12/2024 07:47:50,1734947270590,2,23/12/2024 11:47:50,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 15,a7y28a,40,,info,,100,,,Prediction,3,object-61113,
41,1734940097845,23/12/2024 07:48:17,1734947297845,2,23/12/2024 11:48:17,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 79,jc3dpd,41,,info,,100,,,Prediction,3,object-102116019,
42,1734940110652,23/12/2024 07:48:30,1734947310652,2,23/12/2024 11:48:30,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 42,1m6up6,42,,info,,100,,,Prediction,3,object-795,
43,1734940131942,23/12/2024 07:48:51,1734947331942,2,23/12/2024 11:48:51,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 151,rezlta,43,,info,,100,,,Prediction,3,object-1555558,
44,1734940151953,23/12/2024 07:49:11,1734947351953,2,23/12/2024 11:49:11,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 140,3xnkuc,44,,info,,100,,,Prediction,3,object-1485488,
45,1734940169781,23/12/2024 07:49:29,1734947369781,2,23/12/2024 11:49:29,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 93,ohqqw2,45,,info,,100,,,Prediction,3,object-114642145,
46,1734940198047,23/12/2024 07:49:58,1734947398047,2,23/12/2024 11:49:58,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 13,whbe4u,46,,info,,100,,,Prediction,3,object-599,
47,1734940221348,23/12/2024 07:50:21,1734947421348,2,23/12/2024 11:50:21,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 63,i9uaiu,47,,info,,100,,,Prediction,3,object-91007,
48,1734940235825,23/12/2024 07:50:35,1734947435825,2,23/12/2024 11:50:35,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 146,79ajg4,48,,info,,100,,,Prediction,3,object-1520523,
49,1734940272711,23/12/2024 07:51:12,1734947472711,2,23/12/2024 11:51:12,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 77,3i5svj,49,,info,,100,,,Prediction,3,object-103530033,
50,1734940300139,23/12/2024 07:51:40,1734947500139,2,23/12/2024 11:51:40,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 102,vhav1m,50,,info,,100,,,Prediction,3,object-1212215,
51,1734940326545,23/12/2024 07:52:06,1734947526545,2,23/12/2024 11:52:06,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 50,a44pei,51,,info,,100,,,Prediction,3,object-85151,
52,1734940337089,23/12/2024 07:52:17,1734947537089,2,23/12/2024 11:52:17,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 92,wdmqju,52,,info,,100,,,Prediction,3,object-115349152,
53,1734940366376,23/12/2024 07:52:46,1734947566376,2,23/12/2024 11:52:46,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 66,814rlj,53,,info,,100,,,Prediction,3,object-96663,
54,1734940376042,23/12/2024 07:52:56,1734947576042,2,23/12/2024 11:52:56,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 147,qzf1i7,54,,info,,100,,,Prediction,3,object-1527530,
55,1734940388584,23/12/2024 07:53:08,1734947588584,2,23/12/2024 11:53:08,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 106,7dimi1,55,,info,,100,,,Prediction,3,object-1275278,
56,1734940401632,23/12/2024 07:53:21,1734947601632,2,23/12/2024 11:53:21,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 18,qreg9h,56,,info,,100,,,Prediction,3,object-66062,
57,1734940411478,23/12/2024 07:53:31,1734947611478,2,23/12/2024 11:53:31,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 95,3bital,57,,info,,100,,,Prediction,3,object-113228131,
58,1734940427600,23/12/2024 07:53:47,1734947627600,2,23/12/2024 11:53:47,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 69,2zh7zb,58,,info,,100,,,Prediction,3,object-98784,
59,1734940440761,23/12/2024 07:54:00,1734947640761,2,23/12/2024 11:54:00,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 101,demcvs,59,,info,,100,,,Prediction,3,object-1205208,
60,1734940452413,23/12/2024 07:54:12,1734947652413,2,23/12/2024 11:54:12,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 145,sx3doi,60,,info,,100,,,Prediction,3,object-1513516,
61,1734940466606,23/12/2024 07:54:26,1734947666606,2,23/12/2024 11:54:26,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 74,yg4hbi,61,,info,,100,,,Prediction,3,object-105651054,
62,1734940515484,23/12/2024 07:55:15,1734947715484,2,23/12/2024 11:55:15,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 144,qopcrz,62,,info,,100,,,Prediction,3,object-1457460,
63,1734940539118,23/12/2024 07:55:39,1734947739118,2,23/12/2024 11:55:39,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 130,5pnhai,63,,info,,100,,,Prediction,3,object-1408411,
64,1734940554943,23/12/2024 07:55:54,1734947754943,2,23/12/2024 11:55:54,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 68,whlg2f,64,,info,,100,,,Prediction,3,object-98077,
65,1734940566951,23/12/2024 07:56:06,1734947766951,2,23/12/2024 11:56:06,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 88,4spzs1,65,,info,,100,,,Prediction,3,object-111814117,
66,1734940587566,23/12/2024 07:56:27,1734947787566,2,23/12/2024 11:56:27,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 38,251hiu,66,,info,,100,,,Prediction,3,object-746,
67,1734940602758,23/12/2024 07:56:42,1734947802758,2,23/12/2024 11:56:42,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 96,tr3w92,67,,info,,100,,,Prediction,3,object-112521124,
68,1734940627506,23/12/2024 07:57:07,1734947827506,2,23/12/2024 11:57:07,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 111,uol1do,68,,info,,100,,,Prediction,3,object-1240243,
69,1734940655131,23/12/2024 07:57:35,1734947855131,2,23/12/2024 11:57:35,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 78,ua3tya,69,,info,,100,,,Prediction,3,object-102823026,
70,1734940670198,23/12/2024 07:57:50,1734947870198,2,23/12/2024 11:57:50,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 80,wwcmtp,70,,info,,100,,,Prediction,3,object-101409012,
71,1734940689182,23/12/2024 07:58:09,1734947889182,2,23/12/2024 11:58:09,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 2,rl3k4k,71,,info,,100,,,Prediction,3,object-8,
72,1734940711387,23/12/2024 07:58:31,1734947911387,2,23/12/2024 11:58:31,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 53,qulrvt,72,,info,,100,,,Prediction,3,object-86565,
73,1734940722621,23/12/2024 07:58:42,1734947922621,2,23/12/2024 11:58:42,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 118,6lx4dl,73,,info,,100,,,Prediction,3,object-1324327,
74,1734940740122,23/12/2024 07:59:00,1734947940122,2,23/12/2024 11:59:00,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 90,ilfrsp,74,,info,,100,,,Prediction,3,object-116763166,
75,1734940757882,23/12/2024 07:59:17,1734947957882,2,23/12/2024 11:59:17,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 51,h5hjzp,75,,info,,100,,,Prediction,3,object-85858,
76,1734940772224,23/12/2024 07:59:32,1734947972224,2,23/12/2024 11:59:32,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 85,hctal4,76,,info,,100,,,Prediction,3,object-109893096,
77,1734940791076,23/12/2024 07:59:51,1734947991076,2,23/12/2024 11:59:51,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 91,ses2a6,77,,info,,100,,,Prediction,3,object-116056159,
78,1734940808363,23/12/2024 08:00:08,1734948008363,2,23/12/2024 12:00:08,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 43,fdtvpj,78,,info,,100,,,Prediction,3,object-80202,
79,1734940818449,23/12/2024 08:00:18,1734948018449,2,23/12/2024 12:00:18,195331,10,questionnaire-ler6,,42173210,BLIND,12315511,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,1536x864,1528x738,,,0,Task 1: Investment game,12,,Page 59,75qmm6,79,,info,,100,,,Prediction,3,object-93835,
